pratique/SE fournit par ecosystème,potentiel récréatif sans prélèvement,esthétisme des paysages ,alimentation humaine ,alimentation animale,fourniture de bois et autres matériaux forestiers,regulation de la bonne qualité de l'eau et épuration,régulation du climat global,conservation des sols (érosion),gestion des incendies,régulation des espèces,régulation du climat local,Régénération forêt 
pâturage,,1,-1,1,0,,1,-1,0,1,1,0
protection du troupeau,0,,,,,,,,,,,
circulation animaux,,,,,,,,-1,,,,
randonnée /vélo,1,,,,0,,,,,,,
mise en défens régénération forêt,,,,-1,1,,,,,,,1
Mise en place d'amménagements pour limiter les incendies,,,,1,,,,,1,,,
exploitation bois,1,1,,1,,,,,1,1,1,
chasse,0,,1,,,,,,,1,,
préservation faune sauvage ,,,,-1,-1,,,,,1,,
présence loup,,,,,,,,,,,,
protection habitat sensible,,,,,,,,,,,,
